soft_skill
Complex Problem Solving
Coordination
Equipment Maintenance
Equipment Selection
Installation
Instructing
Judgment and Decision Making
Management of Financial Resources
Management of Material Resources
Management of Personnel Resources
Negotiation
Operation and Control
Operations Analysis
Operations Monitoring
Persuasion
Programming
Quality Control Analysis
Repairing
Service Orientation
Social Perceptiveness
Systems Analysis
Systems Evaluation
Technology Design
Time Management
Troubleshooting
